insertId,labels.build_step,labels.build_tags,logName,receiveLocation,receiveTimestamp,resource.labels.build_id,resource.labels.build_trigger_id,resource.labels.project_id,resource.type,severity,textPayload,timestamp
"'4abf3146-7dae-47d5-a12d-42b8344f9751-589",MAIN,"'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.636488339Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'ERROR: build step 2 ""gcr.io/k8s-skaffold/pack"" failed: step exited with non-zero status: 1","'2025-09-21T15:57:46.507631125Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-588",MAIN,"'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.636488339Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,ERROR,"'2025-09-21T15:57:46.507614269Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-587",MAIN,"'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.636488339Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'Finished Step #2 - ""pack""","'2025-09-21T15:57:46.507531255Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-586","'Step #2 - ""pack""","'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.483901122Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'Step #2 - ""pack"": ERROR: failed to build: executing lifecycle: failed with status code: 21","'2025-09-21T15:57:46.272557691Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-585","'Step #2 - ""pack""","'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.483901122Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'Step #2 - ""pack"": ERROR: failed to detect: buildpack(s) failed with err","'2025-09-21T15:57:46.062454436Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-584","'Step #2 - ""pack""","'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.483901122Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'Step #2 - ""pack"": ERROR: No buildpack groups passed detection.","'2025-09-21T15:57:46.062453257Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-583","'Step #2 - ""pack""","'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.483901122Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'Step #2 - ""pack"": pass: google.utils.label-image@0.0.2","'2025-09-21T15:57:46.062452781Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-582","'Step #2 - ""pack""","'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.483901122Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'Step #2 - ""pack"": fail: google.config.entrypoint@0.9.0","'2025-09-21T15:57:46.062452265Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-581","'Step #2 - ""pack""","'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.483901122Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'Step #2 - ""pack"": fail: google.nodejs.runtime@1.0.0","'2025-09-21T15:57:46.062451825Z"
"'4abf3146-7dae-47d5-a12d-42b8344f9751-580","'Step #2 - ""pack""","'fah,build-2025-09-21-002,bhai-app,2d81e583292fbb7ce6acc70a7e52352598d6fd96,p-fah,r-nodejs,b-nodejs_20250914_RC00,bt-PACK","'projects/bhai-app-hyderbaigg2/logs/cloudbuild",,"'2025-09-21T15:57:46.483901122Z","'4abf3146-7dae-47d5-a12d-42b8344f9751",,"'bhai-app-hyderbaigg2",build,INFO,"'Step #2 - ""pack"": ======== Results ========","'2025-09-21T15:57:46.062449866Z"
